bank,pattern_str,support_pos,support_neg,pos_rate,neg_rate,margin,log_odds,score,abs_score
neg,Salt_Low|Soil_Wet|Temp_Mild|Rain_Light -> Salt_Low|Soil_Wet|Temp_Mild|Rain_Light,66,1050,0.044928522804629,0.07999390522626848,-0.03506538242163948,-0.5768678458115359,-0.020228091620128865,0.020228091620128865
neg,Salt_Low|Soil_Wet|Temp_Mild|Rain_Light -> Salt_Low|Soil_Wet|Temp_Mild|Rain_Light -> Salt_Low|Soil_Wet|Temp_Mild|Rain_Light,7,209,0.004765146358066712,0.01592259637360963,-0.011157450015542917,-1.2062639707794534,-0.013458829959522073,0.013458829959522073
neg,Salt_Low|Soil_Wet|Temp_Hot|Rain_Light -> Salt_Low|Soil_Wet|Temp_Mild|Rain_Light,18,339,0.012253233492171545,0.025826603687338107,-0.013573370195166561,-0.7455723618578104,-0.010119929674780741,0.010119929674780741
neg,Salt_Low|Soil_Wet|Temp_Mild|Rain_Light -> Salt_Low|Soil_Wet|Temp_Hot|Rain_Light,26,428,0.017699115044247787,0.03260703946365991,-0.014907924419412126,-0.6109877280506277,-0.009108558870967088,0.009108558870967088
neg,Salt_Low|Soil_Wet|Temp_Mild|Rain_Heavy -> Salt_Low|Soil_Wet|Temp_Mild|Rain_Light,18,326,0.012253233492171545,0.02483620295596526,-0.012582969463793715,-0.7064711798227625,-0.008889505282760139,0.008889505282760139
neg,Salt_Low|Soil_Wet|Temp_Cool|Rain_Heavy -> Salt_Low|Soil_Wet|Temp_Mild|Rain_Light,33,491,0.0224642614023145,0.03740667377723602,-0.01494241237492152,-0.5099056861477348,-0.007619221034736761,0.007619221034736761
neg,Salt_Mid|Soil_Wet|Temp_Cool|Rain_Heavy -> Salt_Mid|Soil_Wet|Temp_Cool|Rain_Light,5,132,0.0034036759700476512,0.010056376657016608,-0.006652700686968957,-1.0831565888934187,-0.007205916583026198,0.007205916583026198
neg,Salt_High|Soil_Dry|Temp_Cool|Rain_None -> Salt_High|Soil_Dry|Temp_Cool|Rain_None -> Salt_High|Soil_Dry|Temp_Cool|Rain_None,31,457,0.02110279101429544,0.0348163949413378,-0.01371360392704236,-0.5006644232634112,-0.006865913600995515,0.006865913600995515
neg,Salt_Low|Soil_Wet|Temp_Mild|Rain_Light -> Salt_Low|Soil_Wet|Temp_Mild|Rain_Heavy,23,355,0.015656909462219197,0.02704555843364315,-0.011388648971423953,-0.5465835811251736,-0.006224848538978429,0.006224848538978429
neg,Salt_Mid|Soil_Wet|Temp_Hot|Rain_Light -> Salt_Low|Soil_Wet|Temp_Hot|Rain_Light,6,133,0.0040844111640571815,0.010132561328660673,-0.006048150164603492,-0.9084304436269791,-0.005494323737153337,0.005494323737153337
pos,Salt_High|Soil_Dry|Temp_Hot|Rain_Light -> Salt_High|Soil_Dry|Temp_Hot|Rain_Light,222,1312,0.15112321307011573,0.09995428919701356,0.051168923873102165,0.41337912380013464,0.021152164916458764,0.021152164916458764
pos,Salt_High|Soil_Dry|Temp_Cool|Rain_Light -> Salt_High|Soil_Dry|Temp_Cool|Rain_Light,32,115,0.021783526208304968,0.0087612372390675,0.013022288969237468,0.9107486458755478,0.011860032044933107,0.011860032044933107
pos,Salt_High|Soil_Dry|Temp_Hot|Rain_Light -> Salt_High|Soil_Dry|Temp_Hot|Rain_None -> Salt_High|Soil_Dry|Temp_Hot|Rain_Light,30,113,0.02042205582028591,0.00860886789577937,0.01181318792450654,0.8637554747313769,0.010203705743823116,0.010203705743823116
pos,Salt_High|Soil_Dry|Temp_Hot|Rain_Light -> Salt_High|Soil_Dry|Temp_Hot|Rain_None,83,471,0.05650102110279102,0.03588298034435471,0.020618040758436304,0.4539854433016651,0.009360290373730505,0.009360290373730505
pos,Salt_High|Soil_Dry|Temp_Hot|Rain_Light -> Salt_High|Soil_Dry|Temp_Hot|Rain_Heavy,16,44,0.010891763104152484,0.0033521255523388696,0.007539637551813614,1.178205721773004,0.008883244103641403,0.008883244103641403
pos,Salt_High|Soil_Dry|Temp_Hot|Rain_None -> Salt_High|Soil_Dry|Temp_Hot|Rain_Light,89,535,0.0605854322668482,0.04075879932957489,0.01982663293727331,0.39637469289921407,0.007858775541737152,0.007858775541737152
pos,Salt_High|Soil_Dry|Temp_Hot|Rain_Light -> Salt_High|Soil_Dry|Temp_Hot|Rain_Light -> Salt_High|Soil_Dry|Temp_Hot|Rain_Light,106,680,0.07215793056501021,0.05180557671796435,0.020352353847045868,0.33135395044136656,0.0067438328479991925,0.0067438328479991925
pos,Salt_Mid|Soil_Wet|Temp_Mild|Rain_Light -> Salt_Mid|Soil_Wet|Temp_Cool|Rain_Heavy,18,73,0.012253233492171545,0.005561481030016761,0.0066917524621547845,0.789827231333052,0.005285328319949848,0.005285328319949848
pos,Salt_Mid|Soil_Wet|Temp_Mild|Rain_Light -> Salt_Mid|Soil_Wet|Temp_Mild|Rain_Heavy,24,124,0.016337644656228726,0.009446899283864087,0.006890745372364639,0.5477407208263977,0.0037743418372901717,0.0037743418372901717
pos,Salt_High|Soil_Dry|Temp_Cool|Rain_Light -> Salt_High|Soil_Dry|Temp_Cool|Rain_None,29,170,0.019741320626276378,0.012951394179491087,0.006789926446785291,0.42148393690145597,0.0028618449300623788,0.0028618449300623788
